customer_id,customer_name,city,state,registration_date,customer_segment
1,Carl Dennis,Lake Karen,Michigan,2022-08-01,Corporate
2,Teresa Manning,New Tyler,Utah,2019-03-19,Corporate
3,Carrie Garcia,Kennethport,North Dakota,2018-04-10,Corporate
4,Eric Patton,North Stephentown,Pennsylvania,2026-04-19,Consumer
5,Jessica King,Port Timothy,New York,2025-11-13,Small Business
6,Rachel Jackson,Holtland,Pennsylvania,2020-01-26,Small Business
7,Charles Obrien,New Christine,New York,2024-10-20,Small Business
8,Christian Williams,Nancymouth,Mississippi,2025-12-10,Consumer
9,Nathaniel Lee,Campbellmouth,North Carolina,2025-03-01,Small Business
10,Michael Johnson,Rogersburgh,Illinois,2018-11-22,Corporate
11,Gina Gomez,Kimtown,Texas,2017-07-02,Small Business
12,Anthony Russell,New Nicole,Nebraska,2026-04-20,Consumer
13,Ryan Sutton,New Sheila,New Mexico,2021-06-26,Corporate
14,Christopher Turner,Lindsaystad,New York,2016-12-27,Corporate
15,April Stewart,East Susan,Texas,2017-05-07,Small Business
16,Larry Mahoney,Port James,New Jersey,2018-01-05,Corporate
17,Jerry Jennings,Baileyview,Alaska,2016-12-21,Consumer
18,Steven Marsh,Pamelachester,Arkansas,2020-08-02,Corporate
19,Michael Booker,East Maurice,Indiana,2019-04-18,Corporate
20,Katie Clarke,North Monicamouth,North Carolina,2018-02-03,Consumer
21,Matthew Brooks,West Amy,Texas,2021-10-02,Corporate
22,Christina Baker,Vanessatown,Nebraska,2021-02-10,Small Business
23,Terri Copeland,New Debrafurt,Pennsylvania,2025-09-02,Corporate
24,Rebecca Harper MD,Port Shanefurt,New York,2019-09-14,Corporate
25,Jennifer Walls,Jamesfurt,Massachusetts,2016-12-12,Small Business
26,Eric Perkins,Gregorytown,South Dakota,2022-03-22,Corporate
27,William Huffman,Tuckerview,Wisconsin,2017-03-13,Consumer
28,Dawn Kelley,Boltonside,Massachusetts,2023-07-11,Small Business
29,Margaret Larson,Bergville,Arizona,2025-11-18,Small Business
30,Debbie Johnson,South Marcusborough,South Dakota,2022-07-21,Consumer
31,Angela Reed,Chaseport,Montana,2020-01-05,Small Business
32,David Reyes,Bairdfurt,Oklahoma,2023-10-26,Corporate
33,Dr. Kayla Stone,Lake Shannon,New Hampshire,2018-01-05,Consumer
34,Benjamin Suarez,New Jasonfort,Illinois,2021-05-07,Consumer
35,Christopher Waters,Port Sandraview,Wisconsin,2024-09-11,Small Business
36,Tyler Todd,Port Darryl,Texas,2020-06-21,Consumer
37,Scott Rogers,Barajasborough,Oregon,2025-08-23,Consumer
38,Kathy Flores,Floresbury,Texas,2022-08-01,Corporate
39,Katherine Fritz,Wilsonbury,Hawaii,2017-08-08,Small Business
40,Charles Hernandez,Perezbury,Massachusetts,2017-12-29,Corporate
41,Chase Gonzalez,Jamesburgh,Missouri,2017-09-09,Consumer
42,Justin Flores,Williamsbury,Delaware,2024-07-26,Consumer
43,Ashley Smith,North Gregory,New York,2017-01-08,Corporate
44,Whitney Lee,Zacharyberg,Pennsylvania,2025-12-16,Consumer
45,Breanna Tanner,Hickmanstad,Ohio,2025-04-26,Small Business
46,Kimberly Watson MD,New Andrea,Alabama,2018-11-18,Small Business
47,Amber Phillips,East Regina,Wyoming,2026-03-24,Small Business
48,Jessica Anderson,North Thomas,New Jersey,2024-12-06,Consumer
49,Fernando Green,New Travisville,Minnesota,2017-08-21,Small Business
50,Jorge Robinson DVM,Karenbury,Nevada,2019-01-13,Corporate
51,Dwayne Dunn,Susanland,Iowa,2026-05-08,Small Business
52,Joshua Myers,Coleville,Hawaii,2016-09-01,Corporate
53,Sean Higgins,Lake Michael,South Dakota,2023-01-28,Consumer
54,Jennifer Bailey,Grayfort,Idaho,2019-03-15,Consumer
55,Jessica Smith,Lake Mary,Pennsylvania,2022-04-05,Small Business
56,Sandra Gonzalez,West Tinaside,Washington,2018-08-08,Consumer
57,Steven Butler,Carrieport,Indiana,2021-12-25,Small Business
58,Kathy Morris,Danielfort,California,2020-11-28,Corporate
59,Donna Lopez,South Timothy,West Virginia,2017-04-09,Corporate
60,Amber Rivera,New Michaelside,Kentucky,2025-11-21,Corporate
61,James Clements,Hinesburgh,Alabama,2017-02-24,Consumer
62,Wanda Curtis,West Patrickport,Texas,2021-08-29,Consumer
63,Lauren Reynolds,Port Edwinmouth,Georgia,2016-11-08,Corporate
64,Jamie Romero,Bushside,Arizona,2023-11-16,Consumer
65,Valerie Jacobson,West Danielle,Minnesota,2017-10-01,Corporate
66,Phillip Johnson,Tracyview,Mississippi,2016-08-23,Consumer
67,Ian Anderson,Gentryberg,Oklahoma,2021-07-06,Small Business
68,Shari Vazquez,Eddieborough,South Dakota,2021-11-13,Consumer
69,David Bryant,Lake Michael,Alaska,2021-08-28,Consumer
70,Bonnie Rivera,Villarrealtown,Minnesota,2025-08-22,Small Business
71,Mark Decker,East Mariaton,Alaska,2018-06-20,Corporate
72,James Smith,West Allisonhaven,Illinois,2023-10-13,Corporate
73,Louis Cox,Heatherhaven,Mississippi,2021-01-22,Corporate
74,John Jenkins,Jerryton,Colorado,2019-03-16,Small Business
75,Jerry Stewart,Garrisonton,Utah,2022-05-30,Small Business
76,Christine Leach,Meyerstad,North Carolina,2019-01-31,Small Business
77,Robert Mendez,Port Michellemouth,Minnesota,2021-07-09,Small Business
78,Kelly Keller,Mitchelltown,North Carolina,2024-10-28,Small Business
79,Gary Duran,New Mirandaburgh,Vermont,2018-10-03,Corporate
80,Amanda Hood,Joneshaven,New Jersey,2018-04-01,Consumer
81,Mark Hansen,South Tinamouth,Wisconsin,2024-09-06,Small Business
82,Kathleen Martinez,Lake Kimfurt,Michigan,2017-02-17,Small Business
83,Daniel May,Johnshire,Vermont,2022-04-23,Corporate
84,Billy Reyes,Marcton,Hawaii,2019-03-20,Corporate
85,Kelly Barry,Danielschester,Washington,2023-05-14,Corporate
86,David Juarez,Bellfurt,Iowa,2025-09-26,Small Business
87,Lauren Ray,South Melissamouth,Rhode Island,2020-07-20,Small Business
88,April Austin,Shepardstad,Maine,2023-04-24,Corporate
89,Kim Lee,Lisahaven,Nevada,2026-05-05,Consumer
90,Ashlee Mejia,Mayborough,Georgia,2020-04-20,Consumer
91,Shelly Cunningham,South Andrew,California,2022-10-08,Consumer
92,James Gonzalez,Patrickshire,Wyoming,2024-08-03,Consumer
93,Christopher Mccullough,Randytown,Mississippi,2021-11-12,Consumer
94,Michael Weiss,East Monicaborough,New Mexico,2023-12-14,Small Business
95,Albert Williamson,North Garystad,New Hampshire,2023-07-02,Corporate
96,Lisa Wheeler,West Joseph,Kansas,2017-07-12,Small Business
97,Brian Diaz Jr.,Poolemouth,Illinois,2023-03-18,Corporate
98,Scott Booth,Stacyburgh,Connecticut,2017-11-10,Small Business
99,Denise Levine,Port Christopher,Colorado,2018-03-15,Consumer
100,Christine Cummings,Danielmouth,Alabama,2021-04-24,Corporate
101,Margaret Vaughan,Hallland,Texas,2025-07-28,Small Business
102,Kevin White,Port Samuelchester,Utah,2018-04-18,Corporate
103,Ronald Tran,Theresafurt,Louisiana,2017-11-01,Small Business
